School Code,Playing Years,Playing Often,Playing Hours,Parent Revenue,Father Education,Mother Education,Grade
10,2,3,1,2,5,5,62
10,4,4,3,1,5,2,50
10,4,3,2,3,5,5,76
10,0,0,0,1,3,3,91
10,2,2,2,2,4,2,92
11,1,5,1,1,2,4,75
11,2,5,3,2,1,2,95.5
11,1,4,1,3,4,2,50
11,1,5,1,1,2,2,75.5
11,4,1,2,2,4,4,80
11,2,4,1,2,4,3,80
11,1,5,2,2,4,4,85
11,4,1,1,1,2,2,65
11,4,1,3,3,4,5,90
11,0,0,0,2,3,1,70
11,0,0,0,3,3,2,90
11,4,1,3,2,4,3,85
11,4,1,5,2,2,2,80
11,3,3,2,1,2,3,85
11,3,3,2,2,4,2,85
11,1,3,1,1,2,4,65
11,4,1,2,1,3,2,65
11,4,1,4,1,2,2,60.5
11,2,1,2,2,3,3,63
11,4,1,3,2,3,2,55
8,4,1,5,1,2,3,66
8,1,4,1,2,4,4,85
8,1,3,2,2,3,4,97
8,2,2,1,3,3,4,85
8,0,0,0,2,3,4,82.2
8,0,0,0,3,5,3,75
8,1,5,1,1,5,2,81
8,4,1,2,3,3,4,83.5
8,4,1,2,4,3,3,70
8,2,4,2,2,3,1,80
8,0,0,0,3,4,4,65
8,4,1,3,2,4,3,75
8,0,0,0,2,3,3,75
8,2,4,1,2,4,4,65
4,2,5,1,2,4,3,60
4,1,4,2,1,2,2,60.5
4,4,4,2,2,3,3,55.3
4,4,5,3,3,6,4,70
4,3,4,3,1,3,3,55
4,4,3,4,2,3,2,70
4,3,1,4,3,3,4,60
4,1,5,2,2,2,2,60
4,4,2,5,4,4,4,60
4,0,0,0,2,2,2,70
4,4,2,5,2,4,5,60
4,3,5,1,1,4,4,55.5
4,0,0,0,2,4,4,70
4,4,5,3,2,6,4,65
4,2,4,1,2,4,3,78
4,4,1,2,1,4,4,61
4,0,0,0,2,5,5,70.5
4,0,0,0,2,5,4,72
4,1,1,1,2,6,3,92.5
4,2,5,1,1,3,4,65
4,1,1,3,3,6,4,64
4,0,0,0,1,5,3,85
4,1,5,2,3,6,5,79
4,0,0,0,1,4,2,86
8,1,1,5,2,2,4,88
8,4,1,2,4,3,4,70
8,3,1,4,2,2,2,89
8,0,0,0,1,4,3,90
8,4,1,5,1,2,2,70
8,4,3,3,2,3,3,75
8,0,0,0,2,3,3,75
8,3,4,3,1,4,4,40
2,2,1,3,1,2,1,55
2,0,0,0,1,2,1,45
2,1,4,1,2,4,3,87
2,4,1,5,2,4,3,82
5,1,5,2,3,4,3,100
5,4,2,1,2,4,4,100
5,0,0,0,0,0,0,100
1,0,0,0,3,5,4,60
1,0,0,0,2,3,2,64.75
1,2,2,5,2,2,1,50
2,1,4,1,1,4,4,70
2,2,5,4,2,4,3,45.5
2,3,3,3,2,2,2,57
2,1,3,3,2,4,2,89
2,3,3,3,1,4,2,50
2,0,0,0,2,3,3,94
2,1,4,2,2,3,4,85
2,1,2,4,1,3,3,67.5
9,2,5,1,2,5,5,100
4,2,1,3,4,5,4,75
4,2,1,3,2,4,4,77
9,2,5,2,0,5,5,100
